Entity,Code,animal protein (kcal),plant protein (kcal),fat (kcal),carbohydrates (kcal)
0,Afghanistan,AFG,48.88,184.12,301.68,1555.32
1,Albania,ALB,237.68,208.0,958.77,1788.55
2,Algeria,DZA,99.96,267.88,688.95,2239.21
3,Angola,AGO,73.6,155.44,481.86,1762.1
4,Antigua and Barbuda,ATG,227.32,107.52,810.27,1271.89
5,Argentina,ARG,267.76,142.8,1048.14,1770.3
6,Armenia,ARM,173.0,187.16,869.76,1698.08
7,Australia,AUS,286.72,138.4,1357.65,1493.23
8,Austria,AUT,251.44,173.4,1533.96,1809.2
9,Azerbaijan,AZE,120.32,252.28,533.43,2211.97
10,Bahamas,BHS,225.72,120.76,908.37,1415.15
11,Bangladesh,BGD,39.68,183.68,269.37,1957.27
12,Barbados,BRB,202.08,150.88,796.95,1787.09
13,Belarus,BLR,219.84,155.44,1168.56,1706.16
14,Belgium,BEL,232.48,165.88,1460.88,1873.76
15,Belize,BLZ,115.8,177.28,681.12,1776.8
16,Benin,BEN,57.0,200.72,448.2,1913.08
17,Bermuda,BMU,241.12,122.04,986.4,1321.44
18,Bolivia,BOL,119.04,145.0,478.26,1513.7
19,Bosnia and Herzegovina,BIH,121.68,244.88,645.48,2141.96
20,Botswana,BWA,105.64,153.8,594.36,1472.2
21,Brazil,BRA,210.36,169.6,1059.75,1823.29
22,Brunei,BRN,211.8,161.84,743.4,1867.96
23,Bulgaria,BGR,165.2,168.92,847.35,1647.53
24,Burkina Faso,BFA,44.28,273.24,554.4,1848.08
25,Cabo Verde,,111.72,182.88,640.62,1673.78
26,Cambodia,KHM,76.44,186.2,323.64,1890.72
27,Cameroon,CMR,46.8,233.04,513.72,1877.44
28,Canada,CAN,218.8,201.0,1323.45,1750.75
29,Central African Republic,CAF,68.52,115.72,535.86,1158.9
30,Chad,TCD,38.8,212.08,423.81,1435.31
31,Chile,CHL,181.08,168.36,804.24,1825.32
32,China,CHN,158.56,233.6,862.83,1853.01
33,Colombia,COL,133.92,123.6,739.35,1807.13
34,Congo,COG,89.0,117.64,422.73,1578.63
35,Costa Rica,CRI,163.92,136.36,814.14,1733.58
36,Cote d'Ivoire,CIV,54.68,179.36,533.97,2030.99
37,Croatia,HRV,191.92,145.48,1066.05,1655.55
38,Cuba,CUB,127.08,236.36,619.2,2426.36
39,Cyprus,CYP,180.2,130.24,1032.57,1305.99
40,Czechia,CZE,201.92,147.96,1233.45,1672.67
41,Denmark,DNK,279.28,156.24,1210.86,1720.62
42,Djibouti,DJI,60.36,203.08,541.17,1802.39
43,Dominica,DMA,156.76,148.24,679.32,1946.68
44,Dominican Republic,DOM,105.6,127.2,803.34,1577.86
45,Ecuador,ECU,146.12,99.32,852.48,1246.08
46,Egypt,EGY,105.36,307.6,568.17,2540.87
47,El Salvador,SLV,101.0,186.6,560.34,1729.06
48,Estonia,EST,212.96,202.64,816.39,2021.01
49,Eswatini,SWZ,70.32,164.08,420.66,1673.94
50,Ethiopia,ETH,30.76,210.84,233.37,1656.03
51,Fiji,FJI,125.48,168.92,851.13,1797.47
52,Finland,FIN,292.12,178.76,1262.34,1634.78
53,France,FRA,277.4,164.68,1432.8,1607.12
54,French Polynesia,PYF,255.24,132.16,1133.1,1406.5
55,Gabon,GAB,172.12,174.4,536.13,1947.35
56,Gambia,GMB,56.4,189.8,641.88,1739.92
57,Georgia,GEO,115.28,206.84,581.31,2001.57
58,Germany,DEU,245.92,160.44,1276.83,1815.81
59,Ghana,GHA,68.88,189.4,413.64,2344.08
60,Greece,GRC,236.96,198.24,1319.94,1644.86
61,Grenada,GRD,166.36,110.4,780.66,1389.58
62,Guatemala,GTM,71.32,183.6,501.57,1662.51
63,Guinea,GIN,39.76,183.96,557.91,1784.37
64,Guinea-Bissau,GNB,35.56,140.6,571.5,1544.34
65,Guyana,GUY,144.28,173.76,536.85,1909.11
66,Haiti,HTI,40.6,150.28,440.55,1459.57
67,Honduras,HND,92.8,166.72,656.55,1724.93
68,Hong Kong,HKG,377.64,139.08,1259.28,1514.0
69,Hungary,HUN,168.4,147.0,1238.85,1482.75
70,Iceland,ISL,385.92,148.24,1359.0,1486.84
71,India,IND,47.96,193.04,470.25,1747.75
72,Indonesia,IDN,70.84,177.88,519.3,2008.98
73,Iran,IRN,88.88,260.24,677.61,2067.27
74,Iraq,IRQ,52.72,201.8,577.62,1712.86
75,Ireland,IRL,259.28,180.8,1132.56,2027.36
76,Israel,ISR,289.88,222.68,1364.22,1733.22
77,Italy,ITA,232.96,201.08,1392.66,1752.3
78,Jamaica,JAM,148.44,159.44,705.78,1732.34
79,Japan,JPN,193.84,157.08,779.4,1595.68
80,Jordan,JOR,108.72,209.64,900.81,1880.83
81,Kazakhstan,KAZ,228.24,157.4,1210.68,1667.68
82,Kenya,KEN,63.6,183.76,431.82,1526.82
83,Kiribati,KIR,141.2,152.12,930.69,1815.99
84,Kuwait,KWT,214.32,218.64,1052.82,2015.22
85,Kyrgyzstan,KGZ,140.16,200.48,610.47,1865.89
86,Laos,LAO,58.36,217.24,349.47,1825.93
87,Latvia,LVA,203.88,161.68,1075.23,1733.21
88,Lebanon,LBN,117.28,201.56,920.79,1826.37
89,Lesotho,LSO,51.12,242.96,290.61,1944.31
90,Liberia,LBR,32.56,118.08,538.74,1514.62
91,Lithuania,LTU,305.96,192.0,851.22,2067.82
92,Luxembourg,LUX,288.48,167.04,1276.47,1807.01
93,Madagascar,MDG,40.08,146.6,220.41,1644.91
94,Malawi,MWI,31.16,227.04,370.8,1738.0
95,Malaysia,MYS,181.6,144.72,807.66,1782.02
96,Maldives,MDV,343.84,145.88,568.08,1674.2
97,Mali,MLI,94.76,246.04,577.71,1971.49
98,Malta,MLT,246.96,194.48,1045.35,1891.21
99,Mauritania,MRT,135.48,204.36,662.94,1873.22
100,Mauritius,MUS,159.28,194.16,830.61,1880.95
101,Mexico,MEX,162.64,187.88,841.95,1879.53
102,Moldova,MDA,140.96,144.68,770.67,1657.69
103,Mongolia,MNG,194.12,129.04,813.96,1372.88
104,Montenegro,MNE,252.44,195.84,1186.74,1855.98
105,Morocco,MAR,106.56,285.16,624.33,2386.95
106,Mozambique,MOZ,25.4,157.4,377.28,1722.92
107,Myanmar,MMR,134.84,195.6,624.78,1615.78
108,Namibia,NAM,78.2,152.56,442.89,1497.35
109,Nepal,NPL,45.84,230.76,485.01,1911.39
110,Netherlands,NLD,303.08,143.8,1130.67,1650.45
111,New Caledonia,NCL,209.24,138.88,1094.13,1410.75
112,New Zealand,NZL,219.24,150.92,1044.45,1722.39
113,Nicaragua,NIC,84.8,193.68,567.36,1792.16
114,Niger,NER,58.92,264.84,473.04,1750.2
115,Nigeria,NGA,39.4,215.64,507.87,1937.09
116,North Korea,PRK,40.28,179.72,327.69,1546.31
117,North Macedonia,MKD,129.0,185.04,923.67,1711.29
118,Norway,NOR,263.96,179.64,1342.35,1699.05
119,Oman,OMN,182.76,170.24,813.15,1976.85
120,Pakistan,PAK,109.04,152.92,674.28,1503.76
121,Panama,PAN,166.6,151.16,700.56,1714.68
122,Paraguay,PRY,136.72,146.16,834.66,1471.46
123,Peru,PER,108.16,191.52,460.35,1939.97
124,Philippines,PHL,99.4,140.32,460.62,1869.66
125,Poland,POL,213.08,192.8,1076.13,1968.99
126,Portugal,PRT,269.12,174.4,1262.88,1770.6
127,Romania,ROU,188.84,223.24,927.27,2018.65
128,Russia,RUS,224.72,186.64,950.67,1998.97
129,Rwanda,RWA,22.36,204.88,213.93,1786.83
130,Saint Kitts and Nevis,KNA,182.32,106.96,800.28,1402.44
131,Saint Lucia,LCA,202.48,140.36,713.88,1538.28
132,Saint Vincent and the Grenadines,VCT,187.88,157.04,720.63,1902.45
133,Samoa,WSM,214.64,127.48,1273.41,1344.47
134,Sao Tome and Principe,STP,63.6,148.72,698.76,1488.92
135,Saudi Arabia,SAU,159.72,206.8,970.83,1917.65
136,Senegal,SEN,61.0,172.96,643.77,1578.27
137,Serbia,SRB,159.72,169.16,711.81,1687.31
138,Sierra Leone,SLE,59.48,165.04,529.56,1649.92
139,Slovakia,SVK,139.8,150.24,1016.73,1637.23
140,Slovenia,SVN,207.24,177.52,1075.68,1707.56
141,Solomon Islands,SLB,69.88,155.56,423.09,1742.47
142,South Africa,ZAF,145.52,195.8,752.58,1928.1
143,South Korea,KOR,184.52,200.28,920.79,2028.41
144,Spain,ESP,260.6,158.92,1293.39,1461.09
145,Sri Lanka,LKA,65.24,173.6,447.39,1852.77
146,Sudan,SDN,116.8,166.04,623.25,1429.91
147,Suriname,SUR,113.52,138.24,739.89,1761.35
148,Sweden,SWE,283.32,147.56,1171.71,1576.41
149,Switzerland,CHE,239.08,133.24,1382.31,1636.37
150,Taiwan,TWN,173.96,185.0,1138.05,1499.99
151,Tajikistan,TJK,85.08,168.44,543.51,1403.97
152,Tanzania,TZA,40.8,190.4,415.26,1561.54
153,Thailand,THA,99.4,144.12,527.49,2012.99
154,Timor,TLS,71.0,159.08,460.08,1440.84
155,Togo,TGO,36.16,203.0,428.31,1786.53
156,Trinidad and Tobago,TTO,172.44,161.0,833.4,1885.16
157,Tunisia,TUN,113.48,280.88,825.12,2129.52
158,Turkey,TUR,145.24,287.24,1077.03,2196.49
159,Turkmenistan,TKM,151.8,210.16,757.35,1720.69
160,Uganda,UGA,49.56,161.16,419.22,1500.06
161,Ukraine,UKR,172.6,181.88,833.49,1950.03
162,United Arab Emirates,ARE,166.8,251.68,785.7,2075.82
163,United Kingdom,GBR,233.12,179.72,1245.78,1765.38
164,United States,USA,279.12,159.28,1453.86,1789.74
165,Uruguay,URY,216.0,153.76,954.0,1726.24
166,Uzbekistan,UZB,116.76,216.96,658.98,1767.3
167,Vanuatu,VUT,116.92,161.8,945.09,1612.19
168,Venezuela,VEN,152.48,139.56,742.41,1596.55
169,Vietnam,VNM,124.2,202.24,648.99,1769.57
170,Yemen,YEM,55.52,180.24,430.47,1556.77
171,Zambia,ZMB,36.92,183.96,378.45,1330.67
172,Zimbabwe,ZWE,47.04,146.36,514.62,1401.98
